[488, -325, -58, 124, 54, -93, -45, 76]
[225, 0, 0, 0, 0, 0, 0, 0]
[115, 0, 0, 0, 0, 0, 0, 0]
[-164, 0, 0, 0, 0, 0, 0, 0]
[-80, 0, 0, 0, 0, 0, 0, 0]
[135, 0, 0, 0, 0, 0, 0, 0]
[799, 0, 0, 0, 0, 0, 0, 0]
[-566, 0, 0, 0, 0, 0, 0, 0]
[-119, 0, 0, 0, 0, 0, 0, 0]
[226, 0, 0, 0, 0, 0, 0, 0]
[114, 0, 0, 0, 0, 0, 0, 0]
[-163, 0, 0, 0, 0, 0, 0, 0]
[-81, 0, 0, 0, 0, 0, 0, 0]
[135, 0, 0, 0, 0, 0, 0, 0]
[800, 0, 0, 0, 0, 0, 0, 0]
[-568, 0, 0, 0, 0, 0, 0, 0]
[-117, 0, 0, 0, 0, 0, 0, 0]
[224, 0, 0, 0, 0, 0, 0, 0]
[115, 0, 0, 0, 0, 0, 0, 0]
[-164, 0, 0, 0, 0, 0, 0, 0]
[-80, 0, 0, 0, 0, 0, 0, 0]
[135, 0, 0, 0, 0, 0, 0, 0]
[801, 0, -1, 1, 0, 0, 0, 0]
[-569, 0, 1, -1, 0, 0, 0, 0]
[-116, 0, -1, 1, 0, 0, 0, 0]
[223, 0, 1, -1, 0, 0, 0, 0]
[116, 0, -1, 1, 0, 0, 0, 0]
[-164, 0, 1, -1, 0, 0, 0, 0]
[-80, 0, -1, 0, 0, 0, 0, 0]
[135, 0, 0, 0, 0, 0, 0, 0]
[799, 0, 0, 0, 0, 0, 0, 0]
[-565, 0, 0, 0, 0, 0, 0, 0]
[-119, 0, 0, 0, 0, 0, 0, 0]
[226, 0, 0, 0, 0, 0, 0, 0]
[113, 0, 0, 0, 0, 0, 0, 0]
[-162, 0, 0, 0, 0, 0, 0, 0]
[-81, 0, 0, 0, 0, 0, 0, 0]
[136, 0, 0, 0, 0, 0, 0, 0]
[800, 0, 0, 0, 0, 0, 0, 0]
[-567, 0, 0, 0, 0, 0, 0, 0]
[-117, 0, 0, 0, 0, 0, 0, 0]
[225, 0, 0, 0, 0, 0, 0, 0]
[115, 0, 0, 0, 0, 0, 0, 0]
[-164, 0, 0, 0, 0, 0, 0, 0]
[-80, 0, 0, 0, 0, 0, 0, 0]
[135, 0, 0, 0, 0, 0, 0, 0]
[799, 0, 0, 0, 0, 0, 0, 0]
[-565, 0, 0, 0, 0, 0, 0, 0]
[-119, 0, 0, 0, 0, 0, 0, 0]
[226, 0, 0, 0, 0, 0, 0, 0]
[113, 0, 0, 0, 0, 0, 0, 0]
[-162, 0, 0, 0, 0, 0, 0, 0]
[-81, 0, 0, 0, 0, 0, 0, 0]
[136, 0, 0, 0, 0, 0, 0, 0]
[799, 0, 1, 0, 0, 0, 0, 0]
[-565, 0, -1, 0, 0, 0, 0, 0]
[-119, 0, 1, 0, 0, 0, 0, 0]
[226, 0, -1, 0, 0, 0, 0, 0]
[113, 0, 1, 0, 0, 0, 0, 0]
[-162, 0, -1, 0, 0, 0, 0, 0]
[-81, 0, 0, 0, 0, 0, 0, 0]
[136, 0, 0, 0, 0, 0, 0, 0]
[800, 0, -1, 1, -1, 1, 0, 0]
[-568, 0, 1, -2, 1, -1, 0, 0]
[-117, 0, -1, 2, -1, 1, 0, 0]
[224, 0, 1, -2, 1, -1, 0, 0]
[115, 0, -1, 1, -1, 1, 0, 0]
[-164, 0, 1, -1, 1, -1, 0, 0]
[-80, 0, -1, 1, 0, 0, 0, 0]
[135, 0, 0, 0, 0, 0, 0, 0]
[798, -1, 0, -1, 0, 0, 0, 0]
[-564, 1, 0, 1, 0, 0, 0, 0]
[-120, -1, 0, -1, 0, 0, 0, 0]
[228, 1, 0, 1, 0, 0, 0, 0]
[112, -1, 0, -1, 0, 0, 0, 0]
[-162, 1, 0, 1, 0, 0, 0, 0]
[-82, 0, 0, 0, 0, 0, 0, 0]
[136, 0, 0, 0, 0, 0, 0, 0]
[800, 0, 0, 0, 0, 0, 0, 0]
[-567, 0, 0, 0, 0, 0, 0, 0]
[-118, 0, 0, 0, 0, 0, 0, 0]
[225, 0, 0, 0, 0, 0, 0, 0]
[115, 0, 0, 0, 0, 0, 0, 0]
[-163, 0, 0, 0, 0, 0, 0, 0]
[-81, 0, 0, 0, 0, 0, 0, 0]
[135, 0, 0, 0, 0, 0, 0, 0]
[800, 0, 0, 0, 0, 0, 0, 0]
[-567, 0, 0, 0, 0, 0, 0, 0]
[-117, 0, 0, 0, 0, 0, 0, 0]
[225, 0, 0, 0, 0, 0, 0, 0]
[115, 0, 0, 0, 0, 0, 0, 0]
[-164, 0, 0, 0, 0, 0, 0, 0]
[-80, 0, 0, 0, 0, 0, 0, 0]
[135, 0, 0, 0, 0, 0, 0, 0]
[799, -3, -1, 1, 1, 0, 0, 0]
[-566, 4, 1, -1, -2, 0, 0, 0]
[-118, -4, -1, 1, 2, 0, 0, 0]
[225, 4, 1, -1, -2, 0, 0, 0]
[114, -3, -1, 1, 1, 0, 0, 0]
[-163, 3, 1, -1, -1, 0, 0, 0]
[-81, -2, -1, 0, 1, 0, 0, 0]
[135, 1, 0, 0, 0, 0, 0, 0]
[802, 1, 0, 0, 0, 0, 0, 0]
[-569, -1, 0, 0, 0, 0, 0, 0]
[-115, 1, 0, 0, 0, 0, 0, 0]
[223, -1, 0, 0, 0, 0, 0, 0]
[116, 1, 0, 0, 0, 0, 0, 0]
[-165, -1, 0, 0, 0, 0, 0, 0]
[-80, 0, 0, 0, 0, 0, 0, 0]
[135, 0, 0, 0, 0, 0, 0, 0]
[801, -1, -1, 0, 0, 0, 0, 0]
[-568, 1, 1, 0, 0, 0, 0, 0]
[-116, -1, -1, 0, 0, 0, 0, 0]
[224, 1, 1, 0, 0, 0, 0, 0]
[116, -1, -1, 0, 0, 0, 0, 0]
[-164, 1, 1, 0, 0, 0, 0, 0]
[-80, 0, -1, 0, 0, 0, 0, 0]
[135, 0, 0, 0, 0, 0, 0, 0]
[800, 0, 0, 0, 0, 0, 0, 0]
[-567, 0, 0, 0, 0, 0, 0, 0]
[-117, 0, 0, 0, 0, 0, 0, 0]
[225, 0, 0, 0, 0, 0, 0, 0]
[115, 0, 0, 0, 0, 0, 0, 0]
[-164, 0, 0, 0, 0, 0, 0, 0]
[-80, 0, 0, 0, 0, 0, 0, 0]
[135, 0, 0, 0, 0, 0, 0, 0]
[800, 0, 0, 0, 0, 0, 0, 0]
[-568, 0, 0, 0, 0, 0, 0, 0]
[-117, 0, 0, 0, 0, 0, 0, 0]
[224, 0, 0, 0, 0, 0, 0, 0]
[115, 0, 0, 0, 0, 0, 0, 0]
[-164, 0, 0, 0, 0, 0, 0, 0]
[-80, 0, 0, 0, 0, 0, 0, 0]
[135, 0, 0, 0, 0, 0, 0, 0]
[800, 0, 0, 0, 0, 0, 0, 0]
[-568, 0, 0, 0, 0, 0, 0, 0]
[-117, 0, 0, 0, 0, 0, 0, 0]
[224, 0, 0, 0, 0, 0, 0, 0]
[115, 0, 0, 0, 0, 0, 0, 0]
[-164, 0, 0, 0, 0, 0, 0, 0]
[-80, 0, 0, 0, 0, 0, 0, 0]
[135, 0, 0, 0, 0, 0, 0, 0]
[800, 1, 0, 0, 0, 0, 0, 0]
[-567, -1, 0, 0, 0, 0, 0, 0]
[-117, 1, 0, 0, 0, 0, 0, 0]
[225, -1, 0, 0, 0, 0, 0, 0]
